rank,feature,importance,importance_type,feature_group,dtype,numeric,categorical,train_rows,train_non_null,train_nulls,train_unique_values,validation_non_null,validation_nulls,validation_unique_values,train_min,train_max,train_mean,validation_min,validation_max,validation_mean,constant_feature,train_validation_schema_match,target_correlation,target_dependency_status,prediction_time_status,future_lookup_status,audit_status,notes
11,occupancy_rate_roll_missing_6h,0.3161071836948395,gain,occupancy,int64,True,False,23244,23244,0,12,4980,0,12,0.0,11.0,3.895628979521597,0.0,11.0,3.9720883534136546,False,True,-0.3076755816593199,NO_DIRECT_TARGET_DEPENDENCY_IDENTIFIED,LIKELY_AVAILABLE_AT_PREDICTION_TIME,NO_FUTURE_LOOKUP_BY_NAMING,PASS,Feature appears to be historical lag/rolling derived. | Historical feature family based on naming.
12,occupancy_rate_roll_count_6h,0.1870456635951995,gain,occupancy,int64,True,False,23244,23244,0,13,4980,0,13,1.0,13.0,8.38470142832559,1.0,13.0,8.30421686746988,False,True,0.2951113829748571,NO_DIRECT_TARGET_DEPENDENCY_IDENTIFIED,LIKELY_AVAILABLE_AT_PREDICTION_TIME,NO_FUTURE_LOOKUP_BY_NAMING,PASS,Feature appears to be historical lag/rolling derived. | Historical feature family based on naming.
13,available_spaces_roll_min_12h,0.1754826307296753,gain,rolling,float64,True,False,23244,23244,0,2936,4980,0,1574,-15.0,4151.0,757.2293064876958,-16.0,4055.0,686.1831325301205,False,True,-0.5122449144137401,NO_DIRECT_TARGET_DEPENDENCY_IDENTIFIED,LIKELY_AVAILABLE_AT_PREDICTION_TIME,NO_FUTURE_LOOKUP_BY_NAMING,PASS,Feature appears to be historical lag/rolling derived. | Historical feature family based on naming.
14,demand_class,0.1617374867200851,gain,demand,str,False,True,23244,23244,0,6,4980,0,6,,,,,,,False,True,,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,NOT_DETERMINED_FROM_NAME,REVIEW,Feature is derived from occupancy/demand/availability information and requires source-level review. | Current operational feature requires verification against inference-time availability.
15,occupancy_rate_roll_trend_1h,0.1610279083251953,gain,occupancy,float64,True,False,23244,23244,0,11390,4980,0,3714,-1.0,0.8181818181818181,0.037236661470672804,-0.23871906841339163,0.6465346534653464,0.044988000679164766,False,True,0.20443606497823377,NO_DIRECT_TARGET_DEPENDENCY_IDENTIFIED,LIKELY_AVAILABLE_AT_PREDICTION_TIME,NO_FUTURE_LOOKUP_BY_NAMING,PASS,Feature appears to be historical lag/rolling derived. | Historical feature family based on naming.
16,occupancy_rate_roll_max_2h,0.1113276481628418,gain,occupancy,float64,True,False,23244,23244,0,9745,4980,0,3083,0.0,1.0,0.49599432073736766,0.007886435331230283,1.0,0.551728912725966,False,True,0.9665914393184124,NO_DIRECT_TARGET_DEPENDENCY_IDENTIFIED,LIKELY_AVAILABLE_AT_PREDICTION_TIME,NO_FUTURE_LOOKUP_BY_NAMING,PASS,Feature appears to be historical lag/rolling derived. | Historical feature family based on naming.
17,occupancy_rate_roll_max_1h,0.1047073155641555,gain,occupancy,float64,True,False,23244,23244,0,10327,4980,0,3378,0.0,1.0,0.49179303648907086,0.007886435331230283,1.0,0.5470983125553937,False,True,0.973462005388466,NO_DIRECT_TARGET_DEPENDENCY_IDENTIFIED,LIKELY_AVAILABLE_AT_PREDICTION_TIME,NO_FUTURE_LOOKUP_BY_NAMING,PASS,Feature appears to be historical lag/rolling derived. | Historical feature family based on naming.
18,occupancy_rate_lag_2h,0.0846681967377662,gain,occupancy,float64,True,False,23244,17777,5467,9690,3773,1207,3054,0.0,1.0,0.45864703421583175,0.007886435331230283,1.0,0.5068304429686323,False,True,0.8035595179030727,NO_DIRECT_TARGET_DEPENDENCY_IDENTIFIED,LIKELY_AVAILABLE_AT_PREDICTION_TIME,NO_FUTURE_LOOKUP_BY_NAMING,PASS,Feature appears to be historical lag/rolling derived. | Historical feature family based on naming. | Training data contains missing values. | Validation data contains missing values.
19,occupancy_rate_lag_3h,0.0787728577852249,gain,occupancy,float64,True,False,23244,15003,8241,8761,3180,1800,2660,0.0,1.0,0.4348826236808973,0.007886435331230283,1.0,0.4765021841658091,False,True,0.7123557453467158,NO_DIRECT_TARGET_DEPENDENCY_IDENTIFIED,LIKELY_AVAILABLE_AT_PREDICTION_TIME,NO_FUTURE_LOOKUP_BY_NAMING,PASS,Feature appears to be historical lag/rolling derived. | Historical feature family based on naming. | Training data contains missing values. | Validation data contains missing values.
20,occupancy_rate_lag_1h,0.0783648416399955,gain,occupancy,float64,True,False,23244,20513,2731,10475,4363,617,3424,0.0,1.0,0.47448738885237396,0.007886435331230283,1.0,0.5267457254045824,False,True,0.9034916379363012,NO_DIRECT_TARGET_DEPENDENCY_IDENTIFIED,LIKELY_AVAILABLE_AT_PREDICTION_TIME,NO_FUTURE_LOOKUP_BY_NAMING,PASS,Feature appears to be historical lag/rolling derived. | Historical feature family based on naming. | Training data contains missing values. | Validation data contains missing values.
21,occupancy_rate_roll_max_3h,0.073403924703598,gain,occupancy,float64,True,False,23244,23244,0,9395,4980,0,2940,0.0,1.0,0.4971917697858782,0.007886435331230283,1.0,0.5526696197897956,False,True,0.9643572884395921,NO_DIRECT_TARGET_DEPENDENCY_IDENTIFIED,LIKELY_AVAILABLE_AT_PREDICTION_TIME,NO_FUTURE_LOOKUP_BY_NAMING,PASS,Feature appears to be historical lag/rolling derived. | Historical feature family based on naming.
22,hour,0.0701688304543495,gain,temporal,int64,True,False,23244,23244,0,10,4980,0,10,7.0,16.0,11.783600068834968,7.0,16.0,11.726907630522089,False,True,0.24538898414529792,NO_DIRECT_TARGET_DEPENDENCY_IDENTIFIED,AVAILABLE_AT_PREDICTION_TIME,NOT_DETERMINED_FROM_NAME,PASS,Calendar/time feature.
23,occupancy_rate_roll_max_6h,0.065207652747631,gain,occupancy,float64,True,False,23244,23244,0,9269,4980,0,2887,0.0,1.0,0.49765754125366585,0.007886435331230283,1.0,0.5529856795336868,False,True,0.9634874863573827,NO_DIRECT_TARGET_DEPENDENCY_IDENTIFIED,LIKELY_AVAILABLE_AT_PREDICTION_TIME,NO_FUTURE_LOOKUP_BY_NAMING,PASS,Feature appears to be historical lag/rolling derived. | Historical feature family based on naming.
24,occupancy_rate_roll_count_12h,0.0650955960154533,gain,occupancy,int64,True,False,23244,23244,0,17,4980,0,17,1.0,17.0,8.951729478575116,1.0,17.0,8.859036144578313,False,True,0.25436183120344813,NO_DIRECT_TARGET_DEPENDENCY_IDENTIFIED,LIKELY_AVAILABLE_AT_PREDICTION_TIME,NO_FUTURE_LOOKUP_BY_NAMING,PASS,Feature appears to be historical lag/rolling derived. | Historical feature family based on naming.
25,occupancy_rate_roll_trend_2h,0.0649150982499122,gain,occupancy,float64,True,False,23244,23244,0,13792,4980,0,4096,-0.9305993690851735,0.899009900990099,0.08062521692688564,-0.3475247524752475,0.9089108910891089,0.0966345082581329,False,True,0.34580012751646355,NO_DIRECT_TARGET_DEPENDENCY_IDENTIFIED,LIKELY_AVAILABLE_AT_PREDICTION_TIME,NO_FUTURE_LOOKUP_BY_NAMING,PASS,Feature appears to be historical lag/rolling derived. | Historical feature family based on naming.
26,half_hour_slot,0.0575591921806335,gain,temporal,int64,True,False,23244,23244,0,18,4980,0,18,15.0,32.0,24.038977800722765,15.0,32.0,23.922088353413656,False,True,0.2507393664627164,NO_DIRECT_TARGET_DEPENDENCY_IDENTIFIED,REQUIRES_SOURCE_REVIEW,NOT_DETERMINED_FROM_NAME,REVIEW,
27,occupied_spaces_roll_trend_1h,0.0527077876031398,gain,occupancy,float64,True,False,23244,23244,0,1084,4980,0,743,-590.0,1213.0,48.91511787988298,-570.0,1327.0,60.92329317269076,False,True,0.0907578417875351,NO_DIRECT_TARGET_DEPENDENCY_IDENTIFIED,LIKELY_AVAILABLE_AT_PREDICTION_TIME,NO_FUTURE_LOOKUP_BY_NAMING,PASS,Feature appears to be historical lag/rolling derived. | Historical feature family based on naming.
28,available_spaces_roll_trend_1h,0.0509756579995155,gain,rolling,float64,True,False,23244,23244,0,1084,4980,0,743,-1213.0,590.0,-48.91511787988298,-1327.0,570.0,-60.92329317269076,False,True,-0.0907578417875351,NO_DIRECT_TARGET_DEPENDENCY_IDENTIFIED,LIKELY_AVAILABLE_AT_PREDICTION_TIME,NO_FUTURE_LOOKUP_BY_NAMING,PASS,Feature appears to be historical lag/rolling derived. | Historical feature family based on naming.
29,occupancy_rate_roll_std_1h,0.0488656461238861,gain,occupancy,float64,True,False,23244,23244,0,21083,4980,0,4519,0.0,0.46274017261332834,0.02447839358764232,0.0,0.2639475954994678,0.028728251567913587,False,True,0.316116365258425,NO_DIRECT_TARGET_DEPENDENCY_IDENTIFIED,LIKELY_AVAILABLE_AT_PREDICTION_TIME,NO_FUTURE_LOOKUP_BY_NAMING,PASS,Feature appears to be historical lag/rolling derived. | Historical feature family based on naming.
30,occupancy_rate_roll_trend_3h,0.0469619929790496,gain,occupancy,float64,True,False,23244,23244,0,14739,4980,0,4159,-0.7886435331230284,0.9643564356435643,0.12581223559511723,-0.38514851485148516,0.9485148514851485,0.1506325663617648,False,True,0.4739587081892524,NO_DIRECT_TARGET_DEPENDENCY_IDENTIFIED,LIKELY_AVAILABLE_AT_PREDICTION_TIME,NO_FUTURE_LOOKUP_BY_NAMING,PASS,Feature appears to be historical lag/rolling derived. | Historical feature family based on naming.
31,occupancy_within_capacity,0.0403246991336345,gain,occupancy,bool,True,False,23244,23244,0,2,4980,0,2,0.0,1.0,0.9948373773877129,0.0,1.0,0.9771084337349397,False,True,-0.13513152804730963,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,NOT_DETERMINED_FROM_NAME,REVIEW,Feature is derived from occupancy/demand/availability information and requires source-level review. | Current operational feature requires verification against inference-time availability.
32,available_spaces_lag_6h,0.0382019132375717,gain,lag,float64,True,False,23244,6709,16535,2273,1403,3577,993,1.0,4151.0,1005.9455954687733,-6.0,4055.0,998.8503207412687,False,True,-0.28900219880827727,NO_DIRECT_TARGET_DEPENDENCY_IDENTIFIED,LIKELY_AVAILABLE_AT_PREDICTION_TIME,NO_FUTURE_LOOKUP_BY_NAMING,PASS,Feature appears to be historical lag/rolling derived. | Historical feature family based on naming. | Training data contains missing values. | Validation data contains missing values.
33,occupied_spaces_roll_median_12h,0.0379999615252018,gain,occupancy,float64,True,False,23244,23244,0,3482,4980,0,2058,0.0,3384.0,509.49645069695407,10.0,3608.0,568.3394578313253,False,True,0.30698508711657685,NO_DIRECT_TARGET_DEPENDENCY_IDENTIFIED,LIKELY_AVAILABLE_AT_PREDICTION_TIME,NO_FUTURE_LOOKUP_BY_NAMING,PASS,Feature appears to be historical lag/rolling derived. | Historical feature family based on naming.
34,occupancy_rate_roll_median_1d,0.0366846360266208,gain,occupancy,float64,True,False,23244,23244,0,5520,4980,0,1453,0.00625,1.0,0.5058630961432585,0.019064124783362217,1.0,0.5727981394070834,False,True,0.7700295090145516,NO_DIRECT_TARGET_DEPENDENCY_IDENTIFIED,LIKELY_AVAILABLE_AT_PREDICTION_TIME,NO_FUTURE_LOOKUP_BY_NAMING,PASS,Feature appears to be historical lag/rolling derived. | Historical feature family based on naming.
35,occupancy_rate_roll_missing_12h,0.0361235775053501,gain,occupancy,int64,True,False,23244,23244,0,17,4980,0,17,7.0,23.0,15.048270521424884,7.0,23.0,15.140963855421687,False,True,-0.25436183120344813,NO_DIRECT_TARGET_DEPENDENCY_IDENTIFIED,LIKELY_AVAILABLE_AT_PREDICTION_TIME,NO_FUTURE_LOOKUP_BY_NAMING,PASS,Feature appears to be historical lag/rolling derived. | Historical feature family based on naming.
36,occupancy_rate_lag_6h,0.0312123168259859,gain,occupancy,float64,True,False,23244,6709,16535,4645,1403,3577,1257,0.0,0.998,0.3154029481123032,0.007886435331230283,1.0,0.3335581208515337,False,True,0.5751307054062761,NO_DIRECT_TARGET_DEPENDENCY_IDENTIFIED,LIKELY_AVAILABLE_AT_PREDICTION_TIME,NO_FUTURE_LOOKUP_BY_NAMING,PASS,Feature appears to be historical lag/rolling derived. | Historical feature family based on naming. | Training data contains missing values. | Validation data contains missing values.
37,occupancy_rate_lag_30m,0.0284906644374132,gain,occupancy,float64,True,False,23244,21806,1438,10816,4656,324,3615,0.0,1.0,0.4798871805173229,0.007886435331230283,1.0,0.5323372205975289,False,True,0.9493787867700466,NO_DIRECT_TARGET_DEPENDENCY_IDENTIFIED,LIKELY_AVAILABLE_AT_PREDICTION_TIME,NO_FUTURE_LOOKUP_BY_NAMING,PASS,Feature appears to be historical lag/rolling derived. | Historical feature family based on naming. | Training data contains missing values. | Validation data contains missing values.
38,occupancy_rate_roll_mean_1d,0.0258554946631193,gain,occupancy,float64,True,False,23244,23244,0,21676,4980,0,4787,0.009895833333333333,0.9261525907792737,0.47220939942848666,0.019064124783362217,1.0,0.5264587367641139,False,True,0.8098641527653514,NO_DIRECT_TARGET_DEPENDENCY_IDENTIFIED,LIKELY_AVAILABLE_AT_PREDICTION_TIME,NO_FUTURE_LOOKUP_BY_NAMING,PASS,Feature appears to be historical lag/rolling derived. | Historical feature family based on naming.
39,available_spaces_roll_trend_2h,0.0236055329442024,gain,rolling,float64,True,False,23244,23244,0,1579,4980,0,1032,-2167.0,976.0,-106.1402512476338,-2149.0,1003.0,-131.49196787148594,False,True,-0.1752294636722009,NO_DIRECT_TARGET_DEPENDENCY_IDENTIFIED,LIKELY_AVAILABLE_AT_PREDICTION_TIME,NO_FUTURE_LOOKUP_BY_NAMING,PASS,Feature appears to be historical lag/rolling derived. | Historical feature family based on naming.
40,occupancy_rate_roll_max_1d,0.0232823211699724,gain,occupancy,float64,True,False,23244,23244,0,4229,4980,0,1080,0.010416666666666666,1.0,0.6301842473062127,0.019064124783362217,1.0,0.696695166394013,False,True,0.7933718734569527,NO_DIRECT_TARGET_DEPENDENCY_IDENTIFIED,LIKELY_AVAILABLE_AT_PREDICTION_TIME,NO_FUTURE_LOOKUP_BY_NAMING,PASS,Feature appears to be historical lag/rolling derived. | Historical feature family based on naming.
41,day_of_week_sin,0.0226617474108934,gain,temporal,float64,True,False,23244,23244,0,7,4980,0,7,-0.9749279121818236,0.9749279121818236,0.05215906532665528,-0.9749279121818236,0.9749279121818236,0.20042582579618434,False,True,0.2401734832715926,NO_DIRECT_TARGET_DEPENDENCY_IDENTIFIED,REQUIRES_SOURCE_REVIEW,NOT_DETERMINED_FROM_NAME,REVIEW,
42,occupied_spaces_lag_6h,0.0205466896295547,gain,occupancy,float64,True,False,23244,6709,16535,1318,1403,3577,757,0.0,3091.0,395.2905052913996,10.0,3031.0,427.95794725588024,False,True,0.13688759283657634,NO_DIRECT_TARGET_DEPENDENCY_IDENTIFIED,LIKELY_AVAILABLE_AT_PREDICTION_TIME,NO_FUTURE_LOOKUP_BY_NAMING,PASS,Feature appears to be historical lag/rolling derived. | Historical feature family based on naming. | Training data contains missing values. | Validation data contains missing values.
43,occupied_spaces_lag_2h,0.0204772129654884,gain,occupancy,float64,True,False,23244,17777,5467,2308,3773,1207,1473,0.0,3849.0,588.9990999606233,10.0,4153.0,673.4529552080572,False,True,0.23738151072279057,NO_DIRECT_TARGET_DEPENDENCY_IDENTIFIED,LIKELY_AVAILABLE_AT_PREDICTION_TIME,NO_FUTURE_LOOKUP_BY_NAMING,PASS,Feature appears to be historical lag/rolling derived. | Historical feature family based on naming. | Training data contains missing values. | Validation data contains missing values.
44,calendar_day_of_week_sin,0.0186874233186244,gain,temporal,float64,True,False,23244,23244,0,7,4980,0,7,-0.9749279121818236,0.9749279121818236,0.05215906532665528,-0.9749279121818236,0.9749279121818236,0.20042582579618434,False,True,0.2401734832715926,NO_DIRECT_TARGET_DEPENDENCY_IDENTIFIED,REQUIRES_SOURCE_REVIEW,NOT_DETERMINED_FROM_NAME,REVIEW,
45,occupied_spaces_roll_trend_2h,0.018064972013235,gain,occupancy,float64,True,False,23244,23244,0,1579,4980,0,1032,-976.0,2167.0,106.1402512476338,-1003.0,2149.0,131.49196787148594,False,True,0.1752294636722009,NO_DIRECT_TARGET_DEPENDENCY_IDENTIFIED,LIKELY_AVAILABLE_AT_PREDICTION_TIME,NO_FUTURE_LOOKUP_BY_NAMING,PASS,Feature appears to be historical lag/rolling derived. | Historical feature family based on naming.
46,demand_excess_pressure,0.0175810363143682,gain,demand,float64,True,False,23244,23244,0,26,4980,0,28,0.0,0.03875968992248069,6.644402882321613e-05,0.0,0.04134366925064592,0.0004141333903171136,False,True,0.09039765448537745,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,NOT_DETERMINED_FROM_NAME,REVIEW,Feature is derived from occupancy/demand/availability information and requires source-level review. | Current operational feature requires verification against inference-time availability.
47,occupied_spaces_lag_3h,0.0171425249427557,gain,occupancy,float64,True,False,23244,15003,8241,2130,3180,1800,1334,0.0,3694.0,555.880690528561,10.0,3915.0,629.6100628930818,False,True,0.19487665198854703,NO_DIRECT_TARGET_DEPENDENCY_IDENTIFIED,LIKELY_AVAILABLE_AT_PREDICTION_TIME,NO_FUTURE_LOOKUP_BY_NAMING,PASS,Feature appears to be historical lag/rolling derived. | Historical feature family based on naming. | Training data contains missing values. | Validation data contains missing values.
48,calendar_day_of_month,0.0165412221103906,gain,temporal,int64,True,False,23244,23244,0,31,4980,0,12,1.0,31.0,15.240965410428498,1.0,30.0,15.498192771084337,False,True,0.0016683873081720058,NO_DIRECT_TARGET_DEPENDENCY_IDENTIFIED,REQUIRES_SOURCE_REVIEW,NOT_DETERMINED_FROM_NAME,REVIEW,
49,available_spaces_roll_min_1d,0.0151117071509361,gain,rolling,float64,True,False,23244,23244,0,1776,4980,0,741,-15.0,3999.0,581.9308208569954,-16.0,4055.0,486.99357429718873,False,True,-0.46988744473769634,NO_DIRECT_TARGET_DEPENDENCY_IDENTIFIED,LIKELY_AVAILABLE_AT_PREDICTION_TIME,NO_FUTURE_LOOKUP_BY_NAMING,PASS,Feature appears to be historical lag/rolling derived. | Historical feature family based on naming.
50,available_spaces_lag_2h,0.0142344078049063,gain,lag,float64,True,False,23244,17777,5467,2970,3773,1207,1605,-15.0,4151.0,808.5783315520054,-16.0,4055.0,751.8971640604294,False,True,-0.4285042673471193,NO_DIRECT_TARGET_DEPENDENCY_IDENTIFIED,LIKELY_AVAILABLE_AT_PREDICTION_TIME,NO_FUTURE_LOOKUP_BY_NAMING,PASS,Feature appears to be historical lag/rolling derived. | Historical feature family based on naming. | Training data contains missing values. | Validation data contains missing values.
51,available_spaces_roll_std_1h,0.0131596587598323,gain,rolling,float64,True,False,23244,23244,0,18325,4980,0,4286,0.0,495.3290713141,31.678987645757424,0.0,541.7496346714657,39.01981045185721,False,True,0.11951516232453883,NO_DIRECT_TARGET_DEPENDENCY_IDENTIFIED,LIKELY_AVAILABLE_AT_PREDICTION_TIME,NO_FUTURE_LOOKUP_BY_NAMING,PASS,Feature appears to be historical lag/rolling derived. | Historical feature family based on naming.
52,is_friday,0.013148876838386,gain,temporal,bool,True,False,23244,23244,0,2,4980,0,2,0.0,1.0,0.13336775081741525,0.0,1.0,0.10140562248995984,False,True,0.044551172057707665,NO_DIRECT_TARGET_DEPENDENCY_IDENTIFIED,REQUIRES_SOURCE_REVIEW,NOT_DETERMINED_FROM_NAME,REVIEW,
53,occupancy_rate_roll_min_12h,0.0124081596732139,gain,occupancy,float64,True,False,23244,23244,0,1214,4980,0,326,0.0,0.6350515463917525,0.20815979422331174,0.007886435331230283,1.0,0.21748057157577783,False,True,0.6529071769501608,NO_DIRECT_TARGET_DEPENDENCY_IDENTIFIED,LIKELY_AVAILABLE_AT_PREDICTION_TIME,NO_FUTURE_LOOKUP_BY_NAMING,PASS,Feature appears to be historical lag/rolling derived. | Historical feature family based on naming.
54,occupied_spaces_roll_max_6h,0.0121660595759749,gain,occupancy,float64,True,False,23244,23244,0,2233,4980,0,1430,0.0,3949.0,640.7013422818792,10.0,4327.0,735.8991967871486,False,True,0.31483314221187536,NO_DIRECT_TARGET_DEPENDENCY_IDENTIFIED,LIKELY_AVAILABLE_AT_PREDICTION_TIME,NO_FUTURE_LOOKUP_BY_NAMING,PASS,Feature appears to be historical lag/rolling derived. | Historical feature family based on naming.
55,available_spaces_roll_max_1h,0.0121098086237907,gain,rolling,float64,True,False,23244,23244,0,3027,4980,0,1681,-15.0,4151.0,839.6242471175357,-15.0,4055.0,787.3283132530121,False,True,-0.46841743294049015,NO_DIRECT_TARGET_DEPENDENCY_IDENTIFIED,LIKELY_AVAILABLE_AT_PREDICTION_TIME,NO_FUTURE_LOOKUP_BY_NAMING,PASS,Feature appears to be historical lag/rolling derived. | Historical feature family based on naming.
56,available_spaces_roll_mean_1h,0.0121098021045327,gain,rolling,float64,True,False,23244,23244,0,7219,4980,0,3103,-15.0,4151.0,801.0035636436643,-15.0,4055.0,739.6920013386881,False,True,-0.49154449754130153,NO_DIRECT_TARGET_DEPENDENCY_IDENTIFIED,LIKELY_AVAILABLE_AT_PREDICTION_TIME,NO_FUTURE_LOOKUP_BY_NAMING,PASS,Feature appears to be historical lag/rolling derived. | Historical feature family based on naming.
57,available_spaces_roll_min_1h,0.0119383381679654,gain,rolling,float64,True,False,23244,23244,0,3022,4980,0,1679,-15.0,4151.0,763.910514541387,-16.0,4055.0,693.6973895582329,False,True,-0.5122315713749095,NO_DIRECT_TARGET_DEPENDENCY_IDENTIFIED,LIKELY_AVAILABLE_AT_PREDICTION_TIME,NO_FUTURE_LOOKUP_BY_NAMING,PASS,Feature appears to be historical lag/rolling derived. | Historical feature family based on naming.
58,occupied_spaces_roll_median_1d,0.0117721231654286,gain,occupancy,float64,True,False,23244,23244,0,2224,4980,0,1047,3.0,3273.0,655.626871450697,11.0,3608.0,763.7271084337349,False,True,0.16964832968667243,NO_DIRECT_TARGET_DEPENDENCY_IDENTIFIED,LIKELY_AVAILABLE_AT_PREDICTION_TIME,NO_FUTURE_LOOKUP_BY_NAMING,PASS,Feature appears to be historical lag/rolling derived. | Historical feature family based on naming.
59,occupied_spaces_roll_max_1d,0.0117018837481737,gain,occupancy,float64,True,False,23244,23244,0,1860,4980,0,850,5.0,3949.0,816.0038719669592,11.0,4327.0,935.0903614457832,False,True,0.14157496600247343,NO_DIRECT_TARGET_DEPENDENCY_IDENTIFIED,LIKELY_AVAILABLE_AT_PREDICTION_TIME,NO_FUTURE_LOOKUP_BY_NAMING,PASS,Feature appears to be historical lag/rolling derived. | Historical feature family based on naming.
60,occupancy_rate_roll_std_1d,0.0114591903984546,gain,occupancy,float64,True,False,23244,23244,0,22976,4980,0,4840,0.0,0.4274699350835497,0.13567982228926714,0.0,0.4222545005202405,0.15528080716764922,False,True,0.43560323258733763,NO_DIRECT_TARGET_DEPENDENCY_IDENTIFIED,LIKELY_AVAILABLE_AT_PREDICTION_TIME,NO_FUTURE_LOOKUP_BY_NAMING,PASS,Feature appears to be historical lag/rolling derived. | Historical feature family based on naming.
