feature,feature_index,classification,train_present,validation_present,dtype_train,dtype_validation,train_null_count,validation_null_count,source_files,source_line_count,historical_name_signal,lag_signal,rolling_signal,trend_signal,feature_specific_future_signal,feature_specific_negative_shift,feature_specific_centered_rolling,feature_specific_forward_operation,target_reference_signal,causal_direction,verdict,confidence,reasons,recommended_action
occupied_spaces_lag_3h,106,historical,True,True,float64,float64,8241,1800,,0,True,True,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupied_spaces_lag_6h,107,historical,True,True,float64,float64,16535,3577,,0,True,True,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupied_spaces_lag_12h,108,historical,True,True,float64,float64,23244,4980,,0,True,True,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupied_spaces_lag_1d,109,historical,True,True,float64,float64,1428,600,,0,True,True,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
available_spaces_lag_30m,110,historical,True,True,float64,float64,1438,324,,0,True,True,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
available_spaces_lag_1h,111,historical,True,True,float64,float64,2731,617,,0,True,True,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
available_spaces_lag_2h,112,historical,True,True,float64,float64,5467,1207,,0,True,True,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
available_spaces_lag_3h,113,historical,True,True,float64,float64,8241,1800,,0,True,True,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
available_spaces_lag_6h,114,historical,True,True,float64,float64,16535,3577,,0,True,True,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
available_spaces_lag_12h,115,historical,True,True,float64,float64,23244,4980,,0,True,True,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
available_spaces_lag_1d,116,historical,True,True,float64,float64,1428,600,,0,True,True,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupancy_rate_roll_mean_1h,117,historical,True,True,float64,float64,0,0,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\rolling_features.py,1,True,False,True,False,False,False,False,False,False,SOURCE_REFERENCE_ONLY,REQUIRES_CAUSAL_REVIEW,LOW,Feature name indicates rolling/window calculation and source evidence exists.,Trace the feature calculation to its source observations and establish its temporal cutoff.
occupancy_rate_roll_std_1h,118,historical,True,True,float64,float64,0,0,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\rolling_features.py,1,True,False,True,True,False,False,False,False,False,SOURCE_REFERENCE_ONLY,REQUIRES_CAUSAL_REVIEW,LOW,Feature name indicates rolling/window calculation and source evidence exists. | Feature name indicates historical change/trend calculation.,Trace the feature calculation to its source observations and establish its temporal cutoff.
occupancy_rate_roll_min_1h,119,historical,True,True,float64,float64,0,0,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\rolling_features.py,1,True,False,True,False,False,False,False,False,False,SOURCE_REFERENCE_ONLY,REQUIRES_CAUSAL_REVIEW,LOW,Feature name indicates rolling/window calculation and source evidence exists.,Trace the feature calculation to its source observations and establish its temporal cutoff.
occupancy_rate_roll_max_1h,120,historical,True,True,float64,float64,0,0,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\rolling_features.py,1,True,False,True,False,False,False,False,False,False,SOURCE_REFERENCE_ONLY,REQUIRES_CAUSAL_REVIEW,LOW,Feature name indicates rolling/window calculation and source evidence exists.,Trace the feature calculation to its source observations and establish its temporal cutoff.
occupancy_rate_roll_median_1h,121,historical,True,True,float64,float64,0,0,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\rolling_features.py,1,True,False,True,False,False,False,False,False,False,SOURCE_REFERENCE_ONLY,REQUIRES_CAUSAL_REVIEW,LOW,Feature name indicates rolling/window calculation and source evidence exists.,Trace the feature calculation to its source observations and establish its temporal cutoff.
occupancy_rate_roll_trend_1h,122,historical,True,True,float64,float64,0,0,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\rolling_features.py,1,True,False,True,True,False,False,False,False,False,SOURCE_REFERENCE_ONLY,REQUIRES_CAUSAL_REVIEW,LOW,Feature name indicates rolling/window calculation and source evidence exists. | Feature name indicates historical change/trend calculation.,Trace the feature calculation to its source observations and establish its temporal cutoff.
occupancy_rate_roll_count_1h,123,historical,True,True,int64,int64,0,0,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\rolling_features.py,1,True,False,True,False,False,False,False,False,False,SOURCE_REFERENCE_ONLY,REQUIRES_CAUSAL_REVIEW,LOW,Feature name indicates rolling/window calculation and source evidence exists.,Trace the feature calculation to its source observations and establish its temporal cutoff.
occupancy_rate_roll_missing_1h,124,historical,True,True,int64,int64,0,0,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\rolling_features.py,1,True,False,True,False,False,False,False,False,False,SOURCE_REFERENCE_ONLY,REQUIRES_CAUSAL_REVIEW,LOW,Feature name indicates rolling/window calculation and source evidence exists.,Trace the feature calculation to its source observations and establish its temporal cutoff.
occupancy_rate_roll_coverage_ratio_1h,125,historical,True,True,float64,float64,0,0,,0,True,False,True,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupancy_rate_roll_1h_available,126,historical,True,True,bool,bool,0,0,,0,True,False,True,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupancy_rate_roll_mean_2h,127,historical,True,True,float64,float64,0,0,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\rolling_features.py,1,True,False,True,False,False,False,False,False,False,SOURCE_REFERENCE_ONLY,REQUIRES_CAUSAL_REVIEW,LOW,Feature name indicates rolling/window calculation and source evidence exists.,Trace the feature calculation to its source observations and establish its temporal cutoff.
occupancy_rate_roll_std_2h,128,historical,True,True,float64,float64,0,0,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\rolling_features.py,1,True,False,True,True,False,False,False,False,False,SOURCE_REFERENCE_ONLY,REQUIRES_CAUSAL_REVIEW,LOW,Feature name indicates rolling/window calculation and source evidence exists. | Feature name indicates historical change/trend calculation.,Trace the feature calculation to its source observations and establish its temporal cutoff.
occupancy_rate_roll_min_2h,129,historical,True,True,float64,float64,0,0,,0,True,False,True,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupancy_rate_roll_max_2h,130,historical,True,True,float64,float64,0,0,,0,True,False,True,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupancy_rate_roll_median_2h,131,historical,True,True,float64,float64,0,0,,0,True,False,True,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupancy_rate_roll_trend_2h,132,historical,True,True,float64,float64,0,0,,0,True,False,True,True,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupancy_rate_roll_count_2h,133,historical,True,True,int64,int64,0,0,,0,True,False,True,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupancy_rate_roll_missing_2h,134,historical,True,True,int64,int64,0,0,,0,True,False,True,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupancy_rate_roll_coverage_ratio_2h,135,historical,True,True,float64,float64,0,0,,0,True,False,True,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupancy_rate_roll_2h_available,136,historical,True,True,bool,bool,0,0,,0,True,False,True,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupancy_rate_roll_mean_3h,137,historical,True,True,float64,float64,0,0,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\rolling_features.py,1,True,False,True,False,False,False,False,False,False,SOURCE_REFERENCE_ONLY,REQUIRES_CAUSAL_REVIEW,LOW,Feature name indicates rolling/window calculation and source evidence exists.,Trace the feature calculation to its source observations and establish its temporal cutoff.
occupancy_rate_roll_std_3h,138,historical,True,True,float64,float64,0,0,,0,True,False,True,True,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupancy_rate_roll_min_3h,139,historical,True,True,float64,float64,0,0,,0,True,False,True,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupancy_rate_roll_max_3h,140,historical,True,True,float64,float64,0,0,,0,True,False,True,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupancy_rate_roll_median_3h,141,historical,True,True,float64,float64,0,0,,0,True,False,True,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupancy_rate_roll_trend_3h,142,historical,True,True,float64,float64,0,0,,0,True,False,True,True,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupancy_rate_roll_count_3h,143,historical,True,True,int64,int64,0,0,,0,True,False,True,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupancy_rate_roll_missing_3h,144,historical,True,True,int64,int64,0,0,,0,True,False,True,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupancy_rate_roll_coverage_ratio_3h,145,historical,True,True,float64,float64,0,0,,0,True,False,True,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupancy_rate_roll_3h_available,146,historical,True,True,bool,bool,0,0,,0,True,False,True,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupancy_rate_roll_mean_6h,147,historical,True,True,float64,float64,0,0,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\rolling_features.py,1,True,False,True,False,False,False,False,False,False,SOURCE_REFERENCE_ONLY,REQUIRES_CAUSAL_REVIEW,LOW,Feature name indicates rolling/window calculation and source evidence exists.,Trace the feature calculation to its source observations and establish its temporal cutoff.
occupancy_rate_roll_std_6h,148,historical,True,True,float64,float64,0,0,,0,True,False,True,True,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupancy_rate_roll_min_6h,149,historical,True,True,float64,float64,0,0,,0,True,False,True,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupancy_rate_roll_max_6h,150,historical,True,True,float64,float64,0,0,,0,True,False,True,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupancy_rate_roll_median_6h,151,historical,True,True,float64,float64,0,0,,0,True,False,True,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupancy_rate_roll_trend_6h,152,historical,True,True,float64,float64,0,0,,0,True,False,True,True,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupancy_rate_roll_count_6h,153,historical,True,True,int64,int64,0,0,,0,True,False,True,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupancy_rate_roll_missing_6h,154,historical,True,True,int64,int64,0,0,,0,True,False,True,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupancy_rate_roll_coverage_ratio_6h,155,historical,True,True,float64,float64,0,0,,0,True,False,True,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupancy_rate_roll_6h_available,156,historical,True,True,bool,bool,0,0,,0,True,False,True,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupancy_rate_roll_mean_12h,157,historical,True,True,float64,float64,0,0,C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\features\rolling_features.py,1,True,False,True,False,False,False,False,False,False,SOURCE_REFERENCE_ONLY,REQUIRES_CAUSAL_REVIEW,LOW,Feature name indicates rolling/window calculation and source evidence exists.,Trace the feature calculation to its source observations and establish its temporal cutoff.
occupancy_rate_roll_std_12h,158,historical,True,True,float64,float64,0,0,,0,True,False,True,True,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupancy_rate_roll_min_12h,159,historical,True,True,float64,float64,0,0,,0,True,False,True,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupancy_rate_roll_max_12h,160,historical,True,True,float64,float64,0,0,,0,True,False,True,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupancy_rate_roll_median_12h,161,historical,True,True,float64,float64,0,0,,0,True,False,True,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupancy_rate_roll_trend_12h,162,historical,True,True,float64,float64,0,0,,0,True,False,True,True,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupancy_rate_roll_count_12h,163,historical,True,True,int64,int64,0,0,,0,True,False,True,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupancy_rate_roll_missing_12h,164,historical,True,True,int64,int64,0,0,,0,True,False,True,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupancy_rate_roll_coverage_ratio_12h,165,historical,True,True,float64,float64,0,0,,0,True,False,True,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupancy_rate_roll_12h_available,166,historical,True,True,bool,bool,0,0,,0,True,False,True,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupancy_rate_roll_mean_1d,167,historical,True,True,float64,float64,0,0,,0,True,False,True,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupancy_rate_roll_std_1d,168,historical,True,True,float64,float64,0,0,,0,True,False,True,True,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupancy_rate_roll_min_1d,169,historical,True,True,float64,float64,0,0,,0,True,False,True,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupancy_rate_roll_max_1d,170,historical,True,True,float64,float64,0,0,,0,True,False,True,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupancy_rate_roll_median_1d,171,historical,True,True,float64,float64,0,0,,0,True,False,True,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupancy_rate_roll_trend_1d,172,historical,True,True,float64,float64,0,0,,0,True,False,True,True,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupancy_rate_roll_count_1d,173,historical,True,True,int64,int64,0,0,,0,True,False,True,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupancy_rate_roll_missing_1d,174,historical,True,True,int64,int64,0,0,,0,True,False,True,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupancy_rate_roll_coverage_ratio_1d,175,historical,True,True,float64,float64,0,0,,0,True,False,True,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupancy_rate_roll_1d_available,176,historical,True,True,bool,bool,0,0,,0,True,False,True,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupied_spaces_roll_mean_1h,177,historical,True,True,float64,float64,0,0,,0,True,False,True,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupied_spaces_roll_std_1h,178,historical,True,True,float64,float64,0,0,,0,True,False,True,True,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupied_spaces_roll_min_1h,179,historical,True,True,float64,float64,0,0,,0,True,False,True,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupied_spaces_roll_max_1h,180,historical,True,True,float64,float64,0,0,,0,True,False,True,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupied_spaces_roll_median_1h,181,historical,True,True,float64,float64,0,0,,0,True,False,True,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupied_spaces_roll_trend_1h,182,historical,True,True,float64,float64,0,0,,0,True,False,True,True,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupied_spaces_roll_count_1h,183,historical,True,True,int64,int64,0,0,,0,True,False,True,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupied_spaces_roll_missing_1h,184,historical,True,True,int64,int64,0,0,,0,True,False,True,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupied_spaces_roll_coverage_ratio_1h,185,historical,True,True,float64,float64,0,0,,0,True,False,True,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupied_spaces_roll_1h_available,186,historical,True,True,bool,bool,0,0,,0,True,False,True,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupied_spaces_roll_mean_2h,187,historical,True,True,float64,float64,0,0,,0,True,False,True,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupied_spaces_roll_std_2h,188,historical,True,True,float64,float64,0,0,,0,True,False,True,True,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupied_spaces_roll_min_2h,189,historical,True,True,float64,float64,0,0,,0,True,False,True,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupied_spaces_roll_max_2h,190,historical,True,True,float64,float64,0,0,,0,True,False,True,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupied_spaces_roll_median_2h,191,historical,True,True,float64,float64,0,0,,0,True,False,True,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupied_spaces_roll_trend_2h,192,historical,True,True,float64,float64,0,0,,0,True,False,True,True,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupied_spaces_roll_count_2h,193,historical,True,True,int64,int64,0,0,,0,True,False,True,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupied_spaces_roll_missing_2h,194,historical,True,True,int64,int64,0,0,,0,True,False,True,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
